wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255209920080663,14.374581,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,54,45,56657.00,25263.00,81920.00,69.1614,115.12
1788255210126618408,14.581119,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,39,9,57412.38,24507.62,81920.00,70.0835,83.94
1788255210126618408,14.581119,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,61,49,56657.00,25263.00,81920.00,69.1614,265.92
1788255210333299748,14.787800,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57412.38,24507.62,81920.00,70.0835,83.29
1788255210333299748,14.787800,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,75,63,56657.00,25263.00,81920.00,69.1614,270.43
1788255210560481430,15.014982,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57412.38,24507.62,81920.00,70.0835,83.29
1788255210560481430,15.014982,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,75,62,56657.00,25263.00,81920.00,69.1614,278.18
1788255210770240641,15.224741,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57414.38,24505.62,81920.00,70.0859,85.12
1788255210770240641,15.224741,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,73,61,56657.00,25263.00,81920.00,69.1614,263.23
1788255210976963411,15.431465,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,7,5,57414.38,24505.62,81920.00,70.0859,83.29
1788255210976963411,15.431465,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,72,61,56657.00,25263.00,81920.00,69.1614,241.06
1788255211183609283,15.638110,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57414.38,24505.62,81920.00,70.0859,83.29
1788255211183609283,15.638110,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,65,54,56657.00,25263.00,81920.00,69.1614,211.70
1788255211393310622,15.847811,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,7,5,57414.38,24505.62,81920.00,70.0859,84.53
1788255211393310622,15.847811,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,57,47,56657.00,25263.00,81920.00,69.1614,236.28
1788255211599935831,16.054436,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57414.38,24505.62,81920.00,70.0859,83.29
1788255211599935831,16.054436,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,60,50,56657.00,25263.00,81920.00,69.1614,250.37
1788255211806676274,16.261177,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,6,4,57414.38,24505.62,81920.00,70.0859,84.21
1788255211806676274,16.261177,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,57,47,56657.00,25263.00,81920.00,69.1614,269.19
1788255212013080240,16.467581,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57414.38,24505.62,81920.00,70.0859,83.62
1788255212013080240,16.467581,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,49,40,56657.00,25263.00,81920.00,69.1614,207.24
1788255212231068870,16.685570,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57414.38,24505.62,81920.00,70.0859,83.29
